RCPT_YR,CGG_CD,CGG_NM,STDG_CD,STDG_NM,LOTNO_SE,LOTNO_SE_NM,MNO,SNO,BLDG_NM,CTRT_DAY,THING_AMT,ARCH_AREA,LAND_AREA,FLR,RGHT_SE,RTRCN_DAY,ARCH_YR,BLDG_USG,DCLR_SE,OPBIZ_RESTAGNT_SGG_NM
2026,11380,은평구,10700,응암동,1,대지,0376,0001,미가마하나임,20260902,62859,52.66,0.0,7.0,,,2026,아파트,직거래,
2026,11380,은평구,10700,응암동,1,대지,0376,0001,미가마하나임,20260902,64157,52.66,0.0,7.0,,,2026,아파트,직거래,
2026,11380,은평구,10700,응암동,1,대지,0376,0001,미가마하나임,20260902,62859,52.66,0.0,8.0,,,2026,아파트,직거래,
2026,11380,은평구,10700,응암동,1,대지,0376,0001,미가마하나임,20260902,64157,52.66,0.0,8.0,,,2026,아파트,직거래,
2026,11380,은평구,10700,응암동,1,대지,0376,0001,미가마하나임,20260902,64157,52.66,0.0,14.0,,,2026,아파트,직거래,
2026,11380,은평구,10700,응암동,1,대지,0376,0001,미가마하나임,20260902,65485,52.66,0.0,14.0,,,2026,아파트,직거래,
2026,11380,은평구,10700,응암동,1,대지,0376,0001,미가마하나임,20260902,64157,52.66,0.0,15.0,,,2026,아파트,직거래,
2026,11380,은평구,10700,응암동,1,대지,0376,0001,미가마하나임,20260902,65485,52.66,0.0,15.0,,,2026,아파트,직거래,
2026,11380,은평구,10700,응암동,1,대지,0376,0001,미가마하나임,20260902,64821,52.66,0.0,16.0,,,2026,아파트,직거래,
2026,11380,은평구,10700,응암동,1,대지,0376,0001,미가마하나임,20260902,66150,52.66,0.0,16.0,,,2026,아파트,직거래,
2026,11380,은평구,10700,응암동,1,대지,0376,0001,미가마하나임,20260902,64821,52.66,0.0,17.0,,,2026,아파트,직거래,
2026,11380,은평구,10700,응암동,1,대지,0376,0001,미가마하나임,20260902,66150,52.66,0.0,17.0,,,2026,아파트,직거래,
2026,11380,은평구,10700,응암동,1,대지,0376,0001,미가마하나임,20260902,65485,52.66,0.0,18.0,,,2026,아파트,직거래,
2026,11380,은평구,10700,응암동,1,대지,0376,0001,미가마하나임,20260902,66782,52.66,0.0,18.0,,,2026,아파트,직거래,
2026,11380,은평구,10700,응암동,1,대지,0376,0001,미가마하나임,20260902,65485,52.66,0.0,19.0,,,2026,아파트,직거래,
2026,11380,은평구,10700,응암동,1,대지,0376,0001,미가 마나하임 응암2,20260902,59755,71.65,95.42,5.0,,,2026,오피스텔,직거래,
2026,11380,은평구,10700,응암동,1,대지,0376,0001,미가마하나임,20260902,66782,52.66,0.0,19.0,,,2026,아파트,직거래,
2026,11560,영등포구,13200,신길동,1,대지,3961,0001,보라매빌,20260902,35200,29.76,18.0,2.0,,,2021,연립다세대,중개거래,서울 관악구
2026,11380,은평구,10700,응암동,1,대지,0376,0001,미가마하나임,20260902,64821,52.66,0.0,20.0,,,2026,아파트,직거래,
2026,11380,은평구,10700,응암동,1,대지,0376,0001,미가마하나임,20260902,66150,52.66,0.0,20.0,,,2026,아파트,직거래,
2026,11380,은평구,10700,응암동,1,대지,0376,0001,미가마하나임,20260902,62859,52.66,0.0,9.0,,,2026,아파트,직거래,
2026,11380,은평구,10700,응암동,1,대지,0376,0001,미가마하나임,20260902,64157,52.66,0.0,9.0,,,2026,아파트,직거래,
2026,11380,은평구,10700,응암동,1,대지,0376,0001,미가마하나임,20260902,62859,52.66,0.0,10.0,,,2026,아파트,직거래,
2026,11320,도봉구,10700,창동,1,대지,0045,0000,삼성래미안,20260902,83000,84.87,0.0,2.0,,,1992,아파트,중개거래,서울 도봉구
